Processor,Status,Release Date,Cores,Max Turbo Speed,Base Speed,Cache Size
Intel Core i9-9980XE Extreme Edition Processor,Launched,Q4'18,18,4.40 GHz,3.00 GHz,24.75 MB 
Intel Core i9-9960X X-series Processor,Launched,Q4'18,16,4.40 GHz,3.10 GHz,22 MB 
Intel Core i9-9940X X-series Processor,Launched,Q4'18,14,4.40 GHz,3.30 GHz,19.25 MB 
Intel Core i9-9920X X-series Processor,Launched,Q4'18,12,4.40 GHz,3.50 GHz,19.25 MB 
Intel Core i9-9900X X-series Processor,Launched,Q4'18,10,4.40 GHz,3.50 GHz,19.25 MB 
Intel Core i9-9820X X-series Processor,Launched,Q4'18,10,4.10 GHz,3.30 GHz,16.5 MB 
Intel Core i7-9800X X-series Processor,Launched,Q4'18,8,4.40 GHz,3.80 GHz,16.5 MB 
Intel Core i9-7980XE Extreme Edition Processor,Launched,Q3'17,18,4.20 GHz,2.60 GHz,24.75 MB
Intel Core i9-7960X X-series Processor,Launched,Q3'17,16,4.20 GHz,2.80 GHz,22 MB
Intel Core i9-7940X X-series Processor,Launched,Q3'17,14,4.30 GHz,3.10 GHz,19.25 MB
Intel Core i9-7920X X-series Processor,Launched,Q3'17,12,4.30 GHz,2.90 GHz,16.5 MB 
Intel Core i9-7900X X-series Processor,Launched,Q2'17,10,4.30 GHz,3.30 GHz,13.75 MB 
Intel Core i7-7820X X-series Processor,Launched,Q2'17,8,4.30 GHz,3.60 GHz,11 MB 
Intel Core i7-7800X X-series Processor,Launched,Q2'17,6,4.00 GHz,3.50 GHz,8.25 MB 
Intel Core i7-7740X X-series Processor,Discontinued,Q2'17,4,4.50 GHz,4.30 GHz,8 MB
Intel Core i5-7640X X-series Processor,Discontinued,Q2'17,4,4.20 GHz,4.00 GHz,6 MB
Intel Core i7-6950X Processor Extreme Edition,Discontinued,Q2'16,10,3.50 GHz,3.00 GHz,25 MB
Intel Core i7-6900K Processor,Discontinued,Q2'16,8,3.70 GHz,3.20 GHz,20 MB
Intel Core i7-6850K Processor,Discontinued,Q2'16,6,3.80 GHz,3.60 GHz,15 MB
Intel Core i7-6800K Processor,Discontinued,Q2'16,6,3.60 GHz,3.40 GHz,15 MB
Intel Core i7-5960X Processor Extreme Edition,Discontinued,Q3'14,8,3.50 GHz,3.00 GHz,20 MB 
Intel Core i7-5930K Processor,Discontinued,Q3'14,6,3.70 GHz,3.50 GHz,15 MB 
